Name;Order;Time elapsed;Relative error;Memory used
cfd2;123440;3.49164;1.86467e-13;727.52
ex15;6867;0.0190058;5.88946e-07;389.051
apache2;715176;9.90894;3.53695e-11;1596.57
cfd1;70656;1.22494;7.92063e-14;463.887
cfd2;123440;2.25546;1.86467e-13;634.469
ex15;6867;0.0345143;5.88946e-07;296
Flan_1565;1564794;69.5672;2.11876e-12;15840.4
G3_circuit;1585478;13.2612;3.91571e-12;1581.74
parabolic_fem;525825;2.08957;7.07329e-13;857.527
shallow_water1;81920;0.149141;2.01619e-16;487.605
StocF-1465;1465137;56.0873;3.68922e-10;10531.7
